,Loss
0,0.7358636912788459
1,0.6896185554064502
2,0.6517529971673277
3,0.6354576752923761
4,0.6230440430152111
5,0.5941487679487261
6,0.5740297694897278
7,0.5638070768594072
8,0.5469024986543123
9,0.5340829110920836
10,0.5080184236270555
11,0.4975703382578206
12,0.4812134385635364
13,0.4792325618939522
14,0.4667951210178749
15,0.4428957809221332
16,0.42947974724647325
17,0.42055339703881467
18,0.4219312437076484
19,0.3942461224121054
20,0.3811568353177074
21,0.3871126029735956
22,0.36722811267726957
23,0.35911190051298875
24,0.365881362020346
25,0.35421247130785233
26,0.33737669225343975
27,0.3399746021631969
28,0.3198097321772757
29,0.31290169303587917
30,0.30520737706086576
31,0.29618422985555465
32,0.3055958890713922
33,0.30219833070089996
34,0.27516748995749357
35,0.27563408055520305
36,0.2785597944106811
37,0.2673591240755959
38,0.2650646429160473
39,0.2561771833408506
40,0.24176145702995291
41,0.25602553339188283
42,0.2479580543405892
43,0.24646936462902727
44,0.23904010353199404
45,0.25038945427241455
46,0.24661956122126363
47,0.2482580657188709
48,0.23275122454664157
49,0.2477761758577388
50,0.24114611382969695
51,0.23430270415086013
52,0.23875972057910674
53,0.23325978768058495
54,0.24875249431340424
55,0.2370212930135238
56,0.24142478698350875
57,0.22917018573632283
58,0.23471675959158883
59,0.24014506087853357
60,0.22976454393526094
61,0.2188286976172374
62,0.23737490265266797
63,0.23501612142547934
64,0.22794788120648798
65,0.24087907629250904
66,0.22948859058893645
67,0.21933165845354047
68,0.22689875196187925
69,0.22197822315393323
70,0.2190457225946574
71,0.23720325545726748
72,0.22805116861903107
73,0.22685965345907
74,0.22116581013479275
75,0.21958079200727018
76,0.22420097823508625
77,0.22830068506973425
78,0.22741033161370833
79,0.22047991055242988
80,0.2322675921157487
81,0.22000019933650025
82,0.21755004599720348
83,0.2200480452362958
84,0.21718593704465974
85,0.22336577861268853
86,0.22082352847614617
87,0.229216826687085
88,0.23287867805843898
89,0.21504491987900856
90,0.21331395635610612
91,0.21241329880135934
92,0.21557482133089706
93,0.21828825235223254
94,0.21550877753006603
95,0.21853938649118018
96,0.2123435642092656
97,0.20720840291639345
98,0.20418793180772743
99,0.2086451586622458
100,0.22177460071595562
101,0.21375855568397098
102,0.20505220968529
103,0.21418987080836907
104,0.19492522459582082
105,0.21555533966956994
106,0.2038245202069885
107,0.20977499603460997
108,0.2051530991187779
109,0.20652063286050837
110,0.20942053652848167
111,0.21009779278830512
112,0.19978346280328035
113,0.19726990736447847
114,0.20669531532077606
115,0.20243631336211393
116,0.20398050532887518
117,0.20058767181689938
118,0.19908356931567528
119,0.19483244628467888
120,0.19945001238467272
121,0.1857484221721643
122,0.21249817460117357
123,0.19122046347077903
124,0.20576722991126745
125,0.20285500214550686
126,0.1964647040542758
127,0.1980662374958749
128,0.19517505092498583
129,0.19633815803191207
130,0.188864454244956
131,0.19172560396639454
132,0.1894987573226293
133,0.18718456921683907
134,0.21103628094379717
135,0.1939401113989362
136,0.18891182964176406
137,0.18578892413973327
138,0.18526272210716865
139,0.1883771295348803
140,0.18687598510365858
141,0.17950189068751946
142,0.18841579403632727
143,0.19064840147386158
144,0.18198979146769612
145,0.19849119510438687
146,0.18727910938935402
147,0.18968395558898107
148,0.18036665486910605
149,0.18725628367601296
150,0.1873618057337883
151,0.18103398456090608
152,0.18008268089630666
153,0.17388073981573954
154,0.17812153121545485
155,0.18245866748162992
156,0.1812120205017995
157,0.18488747144094772
158,0.1744169902066924
159,0.17985237220811442
160,0.176122636231061
161,0.1812382640428497
162,0.17833457760952506
163,0.18206172030597076
164,0.18178917103888567
165,0.18164236911182563
166,0.1611544837554296
167,0.17543050579185326
168,0.18085532580305277
169,0.179487712872334
170,0.16265874778958794
171,0.17206296958299003
172,0.17767712263724741
173,0.16387611574231858
174,0.17428335170581225
175,0.17823715870961165
176,0.17102595989922795
177,0.1574122264341196
178,0.17118540192370624
179,0.17338359490521507
180,0.1694637822044848
181,0.1632396645652942
182,0.16237321160344087
183,0.17338759070023513
184,0.1644641549555665
185,0.16101657901909308
186,0.16868585711106276
187,0.17723208793862572
188,0.1572682273215281
189,0.16671191121214893
190,0.17295504246766752
191,0.16514094718765657
192,0.16058725175949243
193,0.15171921883707112
194,0.16136999985495518
195,0.16444193754556044
196,0.15343281968871736
197,0.1639353594941243
198,0.16229432020284046
199,0.1640185514926336
